"singular","plural","gender","translation","mistakes"
"Einkommen","Einkommen","n","ingresos",1
"Einlagensicherung","-","f","garantía de depósito",1
"Einleger","Einleger","m","depositante",1
"Einlegerin","Einlegerinnen","f","depositante",1
"Einzug","Einzüge","m","recaudación, entrada, ingreso",1
"Eis","-","n","hielo",1
"Eisbär","Eisbären","m","oso polar",1
"Eiscreme","Eiscremes","f","helado",1
"Eisen","Eisen","n","hierro",1
"Eisenzeit","-","f","edad de hierro",1
"Elektrizität","-","f","electricidad",1
"Empfang","Empfänge","m","recepción, destino",1
"Empfänger","Empfänger","m","destinatario",4
"Empfängerin","Empfängerinnen","f","destinataria",4
"Ende","Enden","n","final, fin, extremo",1
"Engel","Engel","m","angel",1
"Englisch","-","n","inglés",1
"Ente","Enten","f","pato",1
"Entfernung","Entfernungen","f","distancia, eliminación, alejamiento",1
"Entfremdung","Entfremdungen","f","distancia",1
"Entscheidung","Entscheidungen","f","decisión",1
"Entspannung","Entspannungen","f","relajación, distensión",1
"Entsprechung","Entsprechungen","f","analogía, concordancia",1
"Entwickler","Entwickler","m","desarrollador",1
"Entwicklerin","Entwicklerinnen","f","desarrolladora",1
"Entwicklung","Entwicklungen","f","desarrollo, evolución",1
"Erde","-","f","planeta tierra",1
"Erfahrung","Erfahrungen","f","experiencia",1
"Erfolg","Erfolge","m","éxito, resultado",1
"Ergebnis","Ergebnisse","n","resultado, consecuencia",4
"Erklärung","Erklärungen","f","explicación, razón, declaración, comentario",1
"Erlaubnis","Erlaubnisse","f","permiso",9
"Erläuterung","Erläuterungen","f","explicación, comentario",1
"Ersatz","-","m","sustitución",1
"Erwachsener","Erwachsene/Erwachsenen","m","adulto",2
"Erwartung","Erwartungen","f","esperanza, expectativa",1
"Eröffnung","Eröffnungen","f","apertura, inauguración, publicación",1
"Esel","Esel","m","burro",1
"Eselin","Eselinnen","f","burra",1
"Essen","Essen","n","comida",1
"Etage","Etagen","f","piso, planta",1
"Event","Events","mn","evento",1
"Explosion","Explosionen","f","explosión",1
"Fahne","Fahnen","f","bandera",1
"Fahrkarte","Fahrkarten","f","boleto",1
"Fahrrad","Fahrräder","n","bicicleta",1
"Fahrschein","Fahrscheine","m","boleto",1
"Fahrstreifen","Fahrstreifen","m","carril",1
"Fall","Fälle","m","caso",1
"Familie","Familien","f","familia",1
"Familienangehöriger","Familienangehörigen","m","miembro de la familia",1
"Farbe","Farben","f","color",1
"Faulenzer","Faulenzer","m","holgazán",1
"Faulenzerin","Faulenzerinnen","f","holgazana",1
"Faust","Fäuste","f","puño",1
"Februar","Februare","m","febrero",1
"Feedback","Feedbacks","n","feedback",1
"Fehler","Fehler","m","error",1
"Fell","Felle","n","piel",1
"Femininum","Feminina","n","género femenino",1
"Fenster","Fenster","n","ventana",1
"Fernreise","Fernreisen","f","viaje de larga distancia",1
"Fernseher","Fernseher","m","televisor",1
"Fest","Feste","n","fiesta, festival",1
"Fett","Fette","n","grasa",7
"Feuchtigkeit","-","f","humedad",1
"Feuer","-","n","fuego",1
"Feuerwehr","Feuerwehren","f","bombero",2
"Feuerwerk","Feuerwerke","n","fuegos artificiales",1
"Feuerzeug","Feuerzeuge","n","encendedor, mechero",1
"Fieber","Fieber","n","fiebre",1
"Finale","Finale","n","final (competencia)",1
"Firma","Firmen","f","empresa",1
"Fisch","Fische","m","pescado",2
"Flair","-","m","encanto, ambiente",8
"Flasche","Flaschen","f","botella",1
"Fledermaus","Fledermäuse","f","murciélago",1
"Fleisch","-","n","carne",1
"Fliege","Fliegen","f","mosca",1
"Flinte","Flinten","f","escopeta",1
"Flug","Flüge","m","vuelo",1
"Flugleistung","Flugleistungen","f","rendimiento de vuelo",1
"Flugzeug","Flugzeuge","n","avión",1
"Fluss","Flüsse","m","río",2
"Flut","Fluten","f","aluvión, marea alta, raudal",7
"Fläche","Flächen","f","superficie",1
"Flügel","Flügel","m","ala",1
"Form","Formen","f","forma, manera",1
"Formular","Formulare","n","formulario",7
"Forschung","Forschungen","f","investigación",1
"Foto","Fotos","n","foto",1
"Frage","Fragen","f","pregunta",1
"Franzose","Franzosen","m","frances",1
"Französin","Französinnen","f","francesa",1
"Frau","Frauen","f","mujer",1
"Freiheit","-","f","libertad",9
"Freitag","Freitage","m","viernes",1
"Fremde","Fremden","mf","extranjero, forastero, desconocido",1
"Freude","-","f","alegría",1
"Freund","Freunde","m","amigo",1
"Freundin","Freundinnen","f","amiga",1
"Frisur","Frisuren","f","peinado",1
"Front","Fronten","f","frente",1
"Frosch","Frösche","m","rana",1
"Frühling","Frühlinge","m","primavera",1
"Frühstück","Frühstücke","n","desayuno",1
"Funke","Funken","m","chispa electrica",1
"Fuß","Füße","m","pie",1
"Fußball","-","m","fútbol",1
"Fähigkeit","-","f","capcidad, habilidad",1
"Füller","Füller","m","pluma, lapicera",5
"Gabel","Gabeln","f","tenedor",1
"Galaxie","Galaxien","f","galaxia",1
"Gardine","Gardinen","f","cortina",1
"Garten","Gärten","m","jardín",1
"Gast","Gäste","m","huesped",1
"Geburt","Geburten","f","parto",1
"Geburtstag","Geburtstage","m","cumpleaños",1
"Gebühr","Gebühren","f","tarifa, taza",1
"Gedanke","Gedanken","m","idea, pensamiento",1
"Gedeck","Gedecke","n","cubierto (toda la mesa)",1
"Geduld","-","f","paciencia",1
"Gefecht","Gefechte","n","combate",1
"Gefilde","Gefilde","n","campiña, campos",1
"Gefährlichkeit","-","f","peligrosidad, gravedad, riesgo",1
"Gefühl","Gefühle","n","sensación, sentimiento",1
"Gegenwart","-","f","actualidad, presente",1
"Gehalt","Gehälter","n","sueldo, salario",1
"Gehörsinn","-","m","sentido del oído",1
"Geist","Geister","m","espíritu, fantasma",4
"Geld","-","n","dinero",1
"Gelegenheit","Gelegenheiten","f","oportunidad",1
"Gelände","Gelände","n","terreno",1
"Gemüse","Gemüse","n","verdura",1
"Genitiv","Genitive","m","genitivo",1
"Genossenschaft","Genossenschaften","f","cooperativa",1
"Genus","Genera","n","género",1
"Gericht","Gerichte","n","comida, plato, tribunal, juzgado",1
"Geruchssinn","-","m","olfato",1
"Gerät","Geräte","n","aparato, instrumento, utensillo",2
"Geschenk","Geschenke","n","regalo",1
"Geschichte","-","f","historia",1
"Geschirr","Geschirre","n","vajilla",1
"Geschmackssinn","-","m","sentido del gusto",1
"Geschwindigkeit","Geschwindigkeiten","f","velocidad",1
"Geschäft","Geschäfte","n","negocio",1
"Gesellschaft","Gesellschaften","f","asociación, compañía",1
"Gesetz","Gesetze","n","ley",1
"Gesicht","Gesichter","n","cara",1
"Gesichtssinn","-","m","sentido de la vista",1
"Gespräch","Gespräche","n","conversación",2
"Gesundheit","-","f","salud, prosperidad",1
"Gewehr","Gewehre","n","fusil",1
"Gewitter","Gewitter","n","tormenta, temporal",1
"Gitarre","Gitarren","f","guitarra",1
"Glas","Gläser","n","vaso",1
"Glaube","-","m","fe, creencias",3
"Gleichgewicht","-","n","equilibrio",8
"Glück","-","n","suerte",2
"Glühbirne","Glühbirnen","f","foco",1
"Grammatik","Grammatiken","f","gramática",1
"Grashüpfer","Grashüpfer","m","saltamontes",5
"Grenze","Grenzen","f","frontera",1
"Grill","Grills","m","asado",1
"Großmutter","Großmütter","f","abuela",1
"Großvater","Großväter","m","abuelo",1
"Grund","Gründe","m","suelo, base, fundamento",1
"Grundschule","Grundschulen","f","escuela primaria",1
"Grundwissen","-","n","conocimientos básicos",11
"Gymnasium","Gymnasien","n","escuela media, secundaria",1
"Gürtel","Gürtel","m","cinturón",1
"Hafen","Häfen","m","puerto",3
"Hagel","Hagel","m","granizo (tormenta)",3
"Hagelkorn","Hagelkörner","n","granizo (piedra)",9
"Hamburger","Hamburger","m","hamburguesa",1
"Hand","Hände","f","mano",1
"Handschuh","Handschuhe","m","guante",9
"Handtuch","Handtücher","n","toalla",1
"Handy","Handys","n","móvil, celular",1
"Hangar","Hangars","m","hangar",1
"Haus","Häuser","n","casa",1
"Haushalt","Haushalte","m","casa, hogar",2
"Heer","Heere","n","ejército",4
"Hefe","Hefen","f","levadura",1
"Heimat","Heimaten","f","patria, país de origen",1
"Helikopter","Helikopter","m","helicóptero",1
"Herausforderung","Herausforderungen","f","desafío, reto",1
"Herbst","Herbste","m","otoño",1
"Herkunft","-","f","origen",1
"Herz","Herzen","n","corazón",1
"Hilfe","Hilfen","f","ayuda",1
"Himmel","Himmel","m","cielo",1
"Hindernis","Hindernisse","n","obstáculo",1
"Hintergrund","Hintergründe","m","fondo, trasfondo, causas",1
"Hobby","Hobbys","n","hobby",1
"Hochdeutsch","-","n","alemán estándar",1
"Hochwasser","Hochwasser","n","marea alta, crecida, inundación",1
"Hof","Höfe","m","patio",1
"Holz","-","n","madera",1
"Holzklotz","Holzklötze","m","bloque de madera",1
"Honig","Honige","m","miel",1
"Horizont","Horizonte","m","horizonte",1
"Horror","-","m","horror",2
"Hose","Hosen","f","pantalón",1
"Hotel","Hotels","n","hotel",1
"Hubschrauber","Hubschrauber","m","helicóptero",1
"Hund","Hunde","m","perro",1
"Hure","Huren","f","puta, ramera",1
"Hut","Hüte","m","sombrero",1
"Hähnchen","Hähnchen","n","pollo",1
"Höhenleitwerk","Höhenleitwerke","n","estabilizador horizontal",1
"Hölle","-","f","infierno",1
"Hülle","Hüllen","f","funda",1
"Hündin","Hündinnen","f","perra",1
"Idee","Ideen","f","idea",1
"Ignoranz","-","f","ignorancia",1
"Immigrant","Immigranten","m","inmigrante",1
"Immigrantin","Immigrantinnen","f","inmigrante",1
"Impfstoff","Impfstoffe","m","vacuna",1
"Impfung","Impfungen","f","vacunación",1
"Injektion","Injektionen","f","inyección",6
"Innere","-","n","interior",1
"Insel","Inseln","f","isla",2
"Institut","Institute","n","instituto",1
"Instrument","Instrumente","n","instrumento",1
"Internet","-","n","internet",1
"Jahr","Jahre","n","año",1
"Januar","Januare","m","enero",1
"Job","Jobs","m","trabajo",1
"Jongleur","Jongleure","m","malabarismo",6
"Juli","Julis","m","julio",1
"Junge","Jungen","m","muchacho",1
"Juni","Junis","m","junio",1
"Jäger","Jäger","m","cazador",1
"Jägerin","Jägerinnen","f","cazadora",1
"Kabel","Kabel","n","cable",1
"Kaffee","Kaffees","m","café",1
"Kalb","Kälber","n","ternero/a",1
"Kampagne","Kampagnen","f","campaña",1
"Kampf","Kämpfe","m","lucha, combate",1
"Kaninchen","Kaninchen","n","conejo",1
"Kanne","Kannen","f","jarra",1
"Kappe","Kappen","f","gorra, tapa, capucha",1
"Karte","Karten","f","mapa, carta",1
"Kartoffel","Kartoffeln","f","patata",1
"Kasse","Kassen","f","caja (pago)",1
"Kasten","Kästen","m","caja, cajón",3
"Katastrophe","Katastrophen","f","catástrofe",1
"Katze","Katzen","f","gato",1
"Kauf","Käufe","m","compra, adquisición",1
"Keller","Keller","m","sótano",1
"Kellner","Kellner","m","camarero",1
"Kellnerin","Kellnerinnen","f","camarera",1
"Kenntnis","-","f","conocimiento",19
"Kerze","Kerzen","f","vela",1
"Kette","Ketten","f","cadena, collar, serie",1
"Kind","Kinder","n","niño",1
"Kindheit","-","f","infancia",1
"Kinn","Kinne","n","barbilla",3
"Kino","Kinos","n","cine",1
"Kiosk","Kioske","m","quiosco, kiosko",4
"Kirche","Kirchen","f","iglesia",1
"Kiste","Kisten","f","caja",1
"Kita","Kitas","f","jardín de infantes",1
"Klappe","Klappen","f","tapa",1
"Klasse","Klassen","f","clase, lección",1
"Klavier","Klaviere","n","piano",1
"Kleber","Kleber","m","pegamento",1
"Klebstoff","Klebstoffe","m","pegamento",1
"Kleid","Kleider","n","vestido",1
"Kleidung","Kleidungen","f","ropa",2
"Kletterer","Kletterer","m","escalador",1
"Klettererin","Klettererinnen","f","escaladora",1
"Klient","Klienten","m","cliente",8
"Klientin","Klientinnen","f","clienta",6
"Klimaveränderung","Klimaveränderungen","f","cambio climático",1
"Klimawandel","-","m","cambio climático",1
"Klotz","Klötze","m","bloque",1
"Klub","Klubs","m","club",1
"Kneipe","Kneipen","f","bar",1
"Knoblauch","-","m","ajo",4
"Knopf","Knöpfe","m","botón",1
"Kochtopf","Kochtöpfe","m","olla",1
"Kohl","-","m","col, repollo",1
"Kohlensäure","-","f","gas CO2 (agua)",1
"Kollektiv","Kollektive/Kollektivs","n","colectivo",5
"Kommentar","Kommentare","m","comentario",4
"Kommode","Kommoden","f","cómoda",1
"Kommunikation","-","f","comunicación",1
"Konjugation","Konjugationen","f","conjugación",1
"Konsonant","Konsonanten","m","consonante",5
"Kontakt","Kontakte","m","contacto",1
"Konto","Konten","n","cuenta",1
"Kontrolle","Kontrollen","f","control",3
"Kopf","Köpfe","m","cabeza",1
"Korrespondenz","Korrespondenzen","f","correspondencia",1
"Korridor","Korridore","m","pasillo",1
"Kraft","Kräfte","f","fuerza",1
"Kran","Krane/Kräne","m","grúa",1
"Kranke","Kranken","mf","enfermo/a",1
"Krankenhaus","Krankenhäuser","n","hospital",1
"Krankenwagen","Krankenwagen","m","ambulancia",1
"Krankheit","Krankheiten","f","enfermedad",1
"Krebs","Krebse","m","cancer, cangrejo",1
"Kreis","Kreise","m","círculo",1
"Kreuz","Kreuze","n","cruz",2
"Krieg","Kriege","m","guerra",1
"Kritik","Kritiken","f","crítica",1
"Krokodil","Krokodile","n","cocodrilo",1
"Kryptowährung","Kryptowährungen","f","criptomoneda",1
"Kröte","Kröten","f","sapo",1
"Krümel","Krümel","m","miga de pan",1
"Kuchen","Kuchen","m","torta",1
"Kugel","Kugeln","f","bola, esfera",1
"Kugelschreiber","Kugelschreiber","m","bolígrafo",1
"Kuh","Kühe","f","vaca",1
"Kuhkalb","Kuhkälber","n","ternera",1
"Kultur","Kulturen","f","cultura",1
"Kumpel","Kumpel","m","compañero",1
"Kunde","Kunden","mf","cliente(m), noticia(f)",1
"Kundenkreis","Kundenkreise","m","clientela",1
"Kundin","Kundinnen","f","clienta",4
"Kunst","Künste","f","arte",1
"Kunststoff","Kunststoffe","m","plástico",1
"Kupfer","-","n","cobre",1
"Kurs","Kurse","m","curso, rumbo, cotización, cambio",6
"Kälte","-","f","frío",1
"Käse","Käse","m","queso",1
"Körper","Körper","m","cuerpo",1
"Körperhaltung","Körperhaltungen","f","postura",1
"Küche","Küchen","f","cocina",1
"Kühlschrank","Kühlschränke","m","heladera",1
"Kürbis","Kürbisse","m","zapallo",3
"Küste","Küsten","f","costa",1
"LKW","LKWs","m","camión",1
"Label","Label","n","etiqueta, identificación",1
"Lage","Lagen","f","sitio, posición, situación",1
"Lager","Lager","n","almacén, depósito",1
"Lamm","Lämmer","n","cordero",1
"Lampe","Lampen","f","lampara",1
"Land","Länder","n","país",1
"Landkreis","Landkreise","m","distrito administrativo",1
"Landschaft","Landschaften","f","paisaje",1
"Laser","Laser","m","láser",1
"Laterne","Laternen","f","linterna, farola",1
"Leben","Leben","n","vida",1
"Lebensmitte","-","f","mitad de la vida",1
"Lebensmittel","Lebensmittel","n","comestibles",1
"Legende","Legenden","f","leyenda, cuento",5
"Lehrer","Lehrer","m","maestro",1
"Lehrerin","Lehrerinnen","f","maestra",1
"Leiter","Leitern","f","escalera",1
"Leitung","Leitungen","f","conducción, línea, dirección",1
"Licht","Lichter","n","luz",1
"Lied","Lieder","n","canción",1
"Lieferung","Lieferungen","f","entrega, envio",1
"Loch","Löcher","n","agujero",1
"Losung","Losungen","f","lema, consigna",1
"Lotterie","Lotterien","f","loteria",1
"Luft","-","f","aire",1
"Luftwaffe","Luftwaffen","f","fuerza aérea",1
"Lust","-","f","ganas de algo",1
"Löffel","Löffel","m","cuchara",1
"Lösung","Lösungen","f","solución",1
"Löwe","Löwen","m","león",1
"Macht","Mächte","f","poder, potencia",1
"Mahnung","Mahnungen","f","amonestación, recordatorio, requerimiento",3
"Mai","Maie","m","mayo",1
"Mal","Male","n","vez",1
"Mann","Männer","m","hombre",1
"Mannschaft","Mannschaften","f","equipo deportivo, tripulación",10
"Mantel","Mäntel","m","abrigo",1
"Mappe","Mappen","f","carpeta",1
"Marine","Marinen","f","marina",1
"Maschine","Maschinen","f","máquina",1
"Maschinengewehr","Maschinengewehre","n","ametralladora",1
"Maske","Masken","f","mascara",1
"Maskulinum","Maskulina","n","género masculino",1
"Material","Materialien","n","material",1
"Mauer","Mauern","f","muro",1
"Maus","Mäuse","f","ratón",1
"Maßnahme","Maßnahmen","f","medida",1
"Mechanik","-","f","física - mecánica",1
"Medikament","Medikamente","n","medicamento, remedio",3
"Medizin","Medizinen","f","medicina, medicamento",1
"Meer","Meere","n","mar",2
"Meinung","Meinungen","f","significado, opinión, parecer",1
"Meister","Meister","m","maestro, experto",1
"Meisterin","Meisterinnen","f","maestra, experta",1
"Menge","Mengen","f","cantidad, monton",1
"Mensa","Mensen/Mensas","f","comedor universitario",1
"Mensch","Menschen","m","ser humano, hombre",1
"Messehalle","Messehallen","f","nave de la deria, pabellón",1
"Messer","Messer","n","cuchillo",1
"Miete","Mieten","f","alquiler",1
"Minute","Minuten","f","minuto",1
"Mischung","Mischungen","f","mezcla",1
"Mitarbeiter","Mitarbeiter","m","empleado",1
"Mitarbeiterin","Mitarbeiterinnen","f","empleada",1
"Mitglied","Mitglieder","n","miembro",1
"Mitleid","-","n","lástima, compasión",1
"Mittagessen","Mittagessen","n","almuerzo",1
