"word","translation","mistakes"
"Flug","vuelo",1
"Flugleistung","rendimiento de vuelo",1
"Flugzeug","avión",1
"Fluss","río",1
"Flut","aluvión, marea alta, raudal",7
"Fläche","superficie",1
"Flügel","ala",1
"Form","forma, manera",1
"Formular","formulario",7
"Forschung","investigación",1
"Foto","foto",1
"Frage","pregunta",1
"Franzose","frances",2
"Französin","francesa",1
"Frau","mujer",1
"Freiheit","libertad",6
"Freitag","viernes",1
"Fremde","extranjero, forastero, desconocido",1
"Freude","alegría",3
"Freund","amigo",1
"Freundin","amiga",1
"Frisur","peinado",1
"Front","frente",1
"Frosch","rana",1
"Frühling","primavera",1
"Frühstück","desayuno",1
"Funke","chispa electrica",1
"Fuß","pie",1
"Fußball","fútbol",1
"Fähigkeit","capcidad, habilidad",1
"Füller","pluma, lapicera",2
"Gabel","tenedor",1
"Galaxie","galaxia",1
"Gardine","cortina",2
"Garten","jardín",1
"Gast","huesped",1
"Geburt","parto",1
"Geburtstag","cumpleaños",1
"Gebühr","tarifa, taza",1
"Gedanke","idea, pensamiento",1
"Gedeck","cubierto (toda la mesa)",1
"Geduld","paciencia",1
"Gefecht","combate",2
"Gefilde","campiña, campos",1
"Gefährlichkeit","peligrosidad, gravedad, riesgo",1
"Gefühl","sensación, sentimiento",1
"Gegenteil","lo contrario",9
"Gegenwart","actualidad, presente",1
"Gehalt","sueldo, salario",1
"Gehörsinn","sentido del oído",1
"Geist","espíritu, fantasma",2
"Geld","dinero",1
"Gelegenheit","oportunidad",1
"Gelände","terreno",1
"Gemüse","verdura",1
"Genitiv","genitivo",1
"Genossenschaft","cooperativa",1
"Genus","género",1
"Gericht","comida, plato, tribunal, juzgado",1
"Geruchssinn","olfato",1
"Gerät","aparato, instrumento, utensillo",2
"Geschenk","regalo",1
"Geschichte","historia",1
"Geschirr","vajilla",1
"Geschmackssinn","sentido del gusto",1
"Geschwindigkeit","velocidad",1
"Geschäft","negocio",1
"Gesellschaft","asociación, compañía",1
"Gesetz","ley",1
"Gesicht","cara",1
"Gesichtssinn","sentido de la vista",1
"Gespräch","conversación",2
"Gesundheit","salud, prosperidad",1
"Gewehr","fusil",1
"Gewicht","peso, importancia",10
"Gewicht","pesa",11
"Gewitter","tormenta, temporal",1
"Gitarre","guitarra",1
"Glas","vaso",1
"Glaube","fe, creencias",1
"Gleichgewicht","equilibrio",6
"Glück","suerte",1
"Glühbirne","foco",1
"Grammatik","gramática",1
"Grashüpfer","saltamontes",2
"Grenze","frontera",1
"Grill","asado",1
"Großmutter","abuela",1
"Großvater","abuelo",1
"Grund","suelo, base, fundamento",1
"Grundschule","escuela primaria",3
"Grundwissen","conocimientos básicos",6
"Gymnasium","escuela media, secundaria",1
"Gürtel","cinturón",1
"Hafen","puerto",1
"Hagel","granizo (tormenta)",3
"Hagelkorn","granizo (piedra)",4
"Halt","apoyo, sostén, parada",9
"Hamburger","hamburguesa",1
"Hand","mano",1
"Handschuh","guante",8
"Handtuch","toalla",1
"Handy","móvil, celular",1
"Hangar","hangar",1
"Haus","casa",1
"Haushalt","casa, hogar",4
"Heer","ejército",4
"Hefe","levadura",1
"Heimat","patria, país de origen",1
"Helikopter","helicóptero",1
"Herausforderung","desafío, reto",1
"Herbst","otoño",1
"Herkunft","origen",1
"Herz","corazón",1
"Hilfe","ayuda",1
"Himmel","cielo",1
"Hindernis","obstáculo",1
"Hintergrund","fondo, trasfondo, causas",1
"Hobby","hobby",1
"Hochdeutsch","alemán estándar",1
"Hochwasser","marea alta, crecida, inundación",1
"Hof","patio",1
"Holz","madera",1
"Holzklotz","bloque de madera",1
"Honig","miel",1
"Horizont","horizonte",1
"Horror","horror",2
"Hose","pantalón",1
"Hotel","hotel",1
"Hubschrauber","helicóptero",1
"Hund","perro",1
"Hure","puta, ramera",1
"Hut","sombrero",1
"Hähnchen","pollo",1
"Höhenleitwerk","estabilizador horizontal",1
"Hölle","infierno",1
"Hülle","funda",1
"Hündin","perra",1
"Idee","idea",1
"Ignoranz","ignorancia",2
"Immigrant","inmigrante",1
"Immigrantin","inmigrante",1
"Impfstoff","vacuna",1
"Impfung","vacunación",1
"Injektion","inyección",6
"Innere","interior",6
"Insel","isla",1
"Institut","instituto",1
"Instrument","instrumento",1
"Internet","internet",1
"Jahr","año",1
"Januar","enero",1
"Job","trabajo",1
"Jongleur","malabarismo",4
"Juli","julio",1
"Junge","muchacho",1
"Juni","junio",1
"Jäger","cazador",1
"Jägerin","cazadora",1
"Kabel","cable",1
"Kaffee","café",1
"Kalb","ternero/a",1
"Kampagne","campaña",1
"Kampf","lucha, combate",1
"Knabe","chico, muchacho",11
"Kaninchen","conejo",1
"Kanne","jarra",1
"Kappe","gorra, tapa, capucha",1
"Karte","mapa, carta",1
"Kartoffel","patata",1
"Kasse","caja (pago)",1
"Kasten","caja, cajón",2
"Katastrophe","catástrofe",1
"Katze","gato",1
"Kauf","compra, adquisición",1
"Keller","sótano",1
"Kellner","camarero",1
"Kellnerin","camarera",1
"Kenntnis","conocimiento",23
"Kerze","vela",1
"Kette","cadena, collar, serie",1
"Kind","niño",1
"Kindheit","infancia",1
"Kinn","barbilla",5
"Kino","cine",1
"Kiosk","quiosco, kiosko",2
"Kirche","iglesia",1
"Kiste","caja",1
"Kita","jardín de infantes",1
"Klappe","tapa",1
"Klasse","clase, lección",1
"Klavier","piano",1
"Kleber","pegamento",1
"Klebstoff","pegamento",1
"Kleid","vestido",1
"Kleidung","ropa",1
"Kletterer","escalador",1
"Klettererin","escaladora",1
"Klient","cliente",5
"Klientin","clienta",4
"Klimaveränderung","cambio climático",1
"Klimawandel","cambio climático",1
"Klotz","bloque",1
"Klub","club",1
"Kneipe","bar",1
"Knoblauch","ajo",3
"Knopf","botón",1
"Kochtopf","olla",1
"Kohl","col, repollo",1
"Kohlensäure","gas CO2 (agua)",1
"Kollektiv","colectivo",3
"Kommentar","comentario",3
"Kommode","cómoda",1
"Kommunikation","comunicación",1
"Konjugation","conjugación",1
"Konsonant","consonante",4
"Kontakt","contacto",1
"Konto","cuenta",1
"Kontrolle","control",2
"Kopf","cabeza",1
"Korrespondenz","correspondencia",1
"Korridor","pasillo",1
"Kraft","fuerza",1
"Kran","grúa",1
"Kranke","enfermo/a",1
"Krankenhaus","hospital",1
"Krankenwagen","ambulancia",1
"Krankheit","enfermedad",1
"Krebs","cancer, cangrejo",1
"Kreis","círculo",1
"Kreuz","cruz",3
"Krieg","guerra",1
"Kritik","crítica",1
"Krokodil","cocodrilo",1
"Kryptowährung","criptomoneda",1
"Kröte","sapo",1
"Krümel","miga de pan",1
"Kuchen","torta",1
"Kugel","bola, esfera",1
"Kugelschreiber","bolígrafo",1
"Kuh","vaca",1
"Kuhkalb","ternera",1
"Kultur","cultura",1
"Kumpel","compañero",1
"Kunde","cliente(m), noticia(f)",1
"Kundenkreis","clientela",1
"Kundin","clienta",3
"Kunst","arte",3
"Kunststoff","plástico",1
"Kupfer","cobre",1
"Kurs","curso, rumbo, cotización, cambio",5
"Kälte","frío",1
"Käse","queso",1
"Körper","cuerpo",1
"Körperhaltung","postura",1
"Küche","cocina",1
"Kühlschrank","heladera",1
"Kürbis","zapallo",2
"Küste","costa",1
"LKW","camión",1
"Label","etiqueta, identificación",1
"Lage","sitio, posición, situación",1
"Lager","almacén, depósito",1
"Lamm","cordero",1
"Lampe","lampara",1
"Land","país",1
"Landkreis","distrito administrativo",1
"Landschaft","paisaje",1
"Laser","láser",1
"Laterne","linterna, farola",1
"Leben","vida",1
"Lebensmitte","mitad de la vida",1
"Lebensmittel","comestibles",1
"Legende","leyenda, cuento",3
"Lehrer","maestro",1
"Lehrerin","maestra",1
"Leiter","escalera",1
"Leitung","conducción, línea, dirección",1
"Licht","luz",1
"Lied","canción",1
"Lieferung","entrega, envio",1
"Loch","agujero",1
"Lokführer","maquinista de tren",9
"Lokführerin","maquinista de tren",9
"Lokomotive","locomotora",9
"Losung","lema, consigna",1
"Lotterie","loteria",1
"Luft","aire",2
"Luftwaffe","fuerza aérea",1
"Lust","ganas de algo",1
"Löffel","cuchara",1
"Lösung","solución",1
"Löwe","león",1
"Macht","poder, potencia",1
"Mahnung","amonestación, recordatorio, requerimiento",3
"Mai","mayo",1
"Mal","vez",1
"Mann","hombre",1
"Mannschaft","equipo deportivo, tripulación",7
"Mantel","abrigo",1
"Mappe","carpeta",1
"Marine","marina",1
"Maschine","máquina",1
"Maschinengewehr","ametralladora",1
"Maske","mascara",1
"Maskulinum","género masculino",1
"Material","material",1
"Mauer","muro",1
"Maus","ratón",1
"Maß","medida, dimensión",11
"Maßnahme","medida",1
"Mechanik","física - mecánica",1
"Medikament","medicamento, remedio",3
"Medizin","medicina, medicamento",1
"Meer","mar",1
"Meinung","significado, opinión, parecer",1
"Meister","maestro, experto",1
"Meisterin","maestra, experta",2
"Menge","cantidad, monton",1
"Mensa","comedor universitario",1
"Mensch","ser humano, hombre",1
"Messehalle","nave de la deria, pabellón",1
"Messer","cuchillo",1
"Miete","alquiler",1
"Minute","minuto",1
"Mischung","mezcla",1
"Mitarbeiter","empleado",1
"Mitarbeiterin","empleada",1
"Mitglied","miembro",1
"Mitleid","lástima, compasión",1
"Mittagessen","almuerzo",1
"Mitteilung","aviso, comunicación, informe",1
"Mittel","medio, remedio, recurso",1
"Mittwoch","miercoles",1
"Modul","módulo",10
"Mole","muelle",1
"Monat","mes",1
"Mond","luna",1
"Monitor","monitor, pantalla",1
"Montag","lunes",1
"Moskito","mosquito",1
"Motel","motel",1
"Motor","motor",1
"Motto","lema",1
"Mund","boca",1
"Museum","museo",1
"Musik","música",1
"Mutter","madre",1
"Mädchen","niña",2
"Märchen","cuento de hadas",1
"März","marzo",1
"Möglichkeit","posibilidad, oportunidad",1
"Mörder","asesino",1
"Mülleimer","tacho de basura",1
"Münze","moneda",1
"Nachbar","vecino",1
"Nachbarin","vecina",1
"Nachricht","noticia",1
"Nacht","noche",2
"Nachteil","desventaja, inconveniente",1
"Nachweis","prueba, comprobación, certificado",1
"Name","nombre",1
"Nase","nariz",1
"Nazi","nazi",1
"Nebenwirkung","efecto secundario",1
"Neffe","sobrino",1
"Nerv","nervio",4
"Netzwerk","red",1
"Neugierde","curiosidad",4
"Neuigkeit","novedad",1
"Neutrum","género neutro",1
"Nichte","sobrina",1
"Nichts","nada",1
"Niederlassung","establecimiento",1
"Niederschlag","precipitación",4
"Nominativ","nominativo",1
"Nord","norte",1
"Norden","norte",1
"Notfall","urgencia",1
"Notwendigkeit","necesidad",1
"November","noviembre",1
"Nudel","pasta, fideos",2
"Nummer","número",1
"Nutte","puta",1
"Ohr","oreja",1
"Oktober","octubre",1
"Olive","aceituna",1
"Onkel","tío",1
"Opel","opel",1
"Opfer","víctima, ofrenda, sacrificio",1
"Orange","naranja",1
"Orbit","órbita",1
"Ordner","archivador, carpeta",1
"Organisation","organización",1
"Ort","lugar",1
"Ost","este",7
"Osten","este",1
"Ozean","oceano",1
"Paket","paquete",1
"Pandemie","pandemia",1
"Panne","avería, contratiempo",1
"Panzer","tanque",1
"Papier","papel",1
"Park","parque",1
"Parkplatz","estacionamiento",1
"Partner","compañero",1
"Partnerin","compañera",1
"Person","persona",1
"Pfanne","sarten",1
"Pfeil","flecha",1
"Pferd","caballo",1
"Pflanze","planta",1
"Phantasie","fantasía, imaginación",1
"Physik","física",1
"Piano","piano",1
"Pilot","piloto",1
"Pilsner","cerveza pilsen",1
"Pizza","piza",1
"Plan","plan, proyecto, intención",7
"Planet","planeta",1
"Platz","plaza",1
"Politik","política",1
"Porsche","porsche",1
"Post","correo",1
"Poster","póster",1
"Postler","cartero",1
"Privatsphäre","privacidad",1
"Problem","problema",1
"Produkt","producto",1
"Programm","programa",1
"Projekt","proyecto",1
"Pronomen","pronombre",1
"Propeller","hélice",1
"Prospekt","folleto, prospecto",1
"Protokoll","protocolo, acta",1
"Prototyp","prototipo",3
"Prozess","proceso",1
"Präsens","presente (tiempo verbal)",6
"Präsentation","presentación",1
"Präteritum","pretérito, pasado (tiempo verbal)",1
"Prüfung","examen",1
"Publikation","publicación",1
"Publikum","público",1
"Pumpe","bomba",1
"Püree","puré",1
"Quittung","recibo con validez jurídica",1
"Rabe","cuervo",3
"Rad","rueda",1
"Radarsicht","visibilidad radar",1
"Radiergummi","goma de borrar",7
"Radio","radio",1
"Rakete","cohete",1
"Rand","borde, periferia",1
"Rat","consejo",1
"Ratte","rata",1
"Raum","habitación",2
"Raumschiff","nave espacial",1
"Realität","realidad",1
"Rechner","calculadora",1
"Rechnung","cuenta",1
"Recht","derecho",1
"Regal","estante",1
"Regel","regla, norma",1
"Regen","lluvia",1
"Regenbogen","arcoíris",1
"Regenschirm","paraguas",1
"Regierung","gobierno",1
"Reich","reino, imperio",1
"Reichstag","parlamento alemán",1
"Reis","arroz",1
"Reise","viaje",1
"Reiseziel","punto de destino",1
"Rente","pensión",1
"Restaurant","restaurante",1
"Richtung","dirección",1
"Ring","anillo",1
"Rippe","costilla",1
"Risiko","riesgo",1
"Rubrik","categoría",3
"Rucksack","mochila",8
"Räderwerk","engranaje",1
"S-Bahn","metro",1
"Sachbearbeiter","oficial encargado",1
"Sachbearbeiterin","oficial encargada",1
"Sache","cosa",1
"Sack","saco (bolso)",5
"Saft","jugo",2
"Salami","salame",1
"Salat","ensalada",1
"Salon","salón",1
"Sammelbegriff","concepto genérico",1
"Sammlung","recaudación, colección",1
"Samstag","sabado",1
"Sand","arena",1
"Satellit","satélite",1
"Satz","oración",1
"Scanner","escáner",1
"Schaf","oveja",1
"Schal","bufanda",5
"Schatten","sombra",1
"Schatz","tesoro",1
"Schauer","aguacero, escalofrío",1
"Schaufenster","vidriera",1
"Schein","billete (dinero)",1
"Schicksal","destino, plan, suerte",1
"Schiff","barco",1
"Schildkröte","tortuga",1
"Schimmel","moho",8
"Schimmel","caballo blanco",1
"Schinken","jamón",1
"Schirm","paraguas, sombrilla",1
"Schlacht","batalla",2
"Schlamm","lodo, barro",1
"Schleier","velo, cortina",1
"Schloss","castillo",1
"Schlüssel","llave",1
"Schmetterling","mariposa",1
"Schmuck","joyas",1
"Schmutz","suciedad, inmendicia, basura",1
"Schnauze","soplon, ser bocaza, hocico",1
"Schnelligkeit","velocidad, rapidez",1
"Schnitzel","milanesa, escalope",1
"Schokolade","chocolate",1
"Schonzeit","tiempo de veda",1
"Schornstein","chimenea",1
"Schrank","armario, ropero",1
"Schraube","tornillo",1
"Schraubenmutter","tuerca",1
"Schraubenzieher","desatornillador",1
"Schreibtisch","escritorio",1
"Schrotflinte","escopeta",1
"Schrott","chatarra",1
"Schuh","zapato",1
"Schuhwerk","calzado",1
"Schulabschluss","título/diploma escolar",1
"Schuld","culpa",1
"Schuld","deuda",1
"Schule","escuela",1
"Schutz","protección, amparo",1
"Schwager","cuñado",1
"Schwein","cerdo",1
"Schwerkraft","fuerza de gravedad",5
"Schwert","espada",1
"Schwester","hermana",1
"Schwiegermutter","suegra",1
"Schwiegervater","suegro",1
"Schwierigkeit","dificultad",1
"Schwägerin","cuñada",3
"Schärfe","picante",1
"Schönheit","belleza",1
"Schönsein","belleza",1
"Schüssel","fuente",3
"See","mar",1
"Seele","alma",3
"Seemann","marinero",1
"Segel","vela de barco",1
"Segelschiff","velero",1
"Sehnsucht","ansia, nostalgia, ahhelo",1
"Seife","jabón",1
"Seil","alambre, cuerda",1
"Seite","página, lado, parte",1
"Sekunde","segundo",1
"Seminar","seminario",2
"Sendung","envío, emisión, programa de tv o radio",1
"Sensor","sensor",1
"September","september",1
"Service","servicio, asistencia",3
"Sessel","sillon",1
"Sicherheit","seguridad, garantía, certeza",1
"Sicherung","protección, fusible, consolidación",1
"Sinn","sentido",1
"Situation","situación",1
"Sofa","sofa",1
"Sohn","hijo",1
"Sommer","verano",1
"Sonne","sol",1
"Sonntag","domingo",1
"Spatz","gorrión",1
"Sperre","barrera, bloqueo, suspensión",1
"Sphäre","esfera",1
"Spiegel","espejo",1
"Spiel","juego",1
"Spinne","araña",1
"Sport","deporte",1
"Sprache","idioma",1
"Spritze","jeringa, inyección",1
"Spülmittel","detergente vajilla",1
"Staat","estado, gobierno",1
"Stadt","ciudad",1
"Stadtrand","afueras de la ciudad",1
"Start","comienzo",1
"Statue","estatua",1
"Stau","atasco, embotellamiento",1
"Steak","bife",1
"Steckdose","tomacorriente",1
"Stecker","enchufe, conector",1
"Stein","piedra",1
"Stelle","lugar",1
"Stern","estrella",1
"Steuer","impuesto",1
"Steuerfrau","timonel",3
"Steuermann","timonel",1
"Steuersatz","taze de impuesto",1
"Stiefel","bota",2
"Stier","toro",1
"Stimme","voz",1
"Stoff","material",1
"Straftat","delito",1
"Strand","playa",1
"Straße","calle",1
"Strom","corriente",1
"Student","estudiante",1
"Studentin","estudiante",1
"Stuhl","silla",1
"Stunde","hora",1
"Sturm","tormenta, teporal",1
"Stück","pieza, trozo, pedazo",5
"Substantiv","sustantivo",1
"Suche","búsqueda",2
"Supermarkt","supermercado",1
"Sympathie","simpatía",1
"Synonym","sinónimo",1
"Süd","sur",1
"Süden","sur",1
"T-Shirt","camiseta",1
"Tag","día",1
"Taille","cintura",1
"Tante","tía",1
"Tasche","bolsillo",1
"Taschentuch","pañuelo de bolsillo",1
"Tasse","taza",1
"Taste","tecla",1
"Tastsinn","sentido del tacto",1
"Tat","hecho, acción, acto",1
"Taube","paloma",1
"Team","equipo",1
"Tee","té, infusión",1
"Teil","pieza, parte",1
"Teilnahme","participación",1
"Teilnehmer","participante",1
"Teilnehmerin","participante",1
"Telefon","teléfono",1
"Teller","plato",1
"Temperatur","temperatura",1
"Tempo","velocidad, tiempo, ritmo",1
"Teppich","alfombra",1
"Termin","fecha",1
"Test","prueba",1
"Teufel","diablo",1
"Theater","teatro",1
"Thema","tema, asunto",1
"Theorie","teoría",1
"Thermometer","termómetro",1
"These","tesis",1
"Tiefe","profundidad, intensidad",1
"Tipp","consejo, recomendación",1
"Tisch","mesa",1
"Titel","título",1
"Tochter","hija",1
"Tod","muerte, fallecimiento, defunción",1
"Toilette","baño",1
"Tomate","tomate",1
"Topf","olla",5
"Topfblume","planta de maceta",1
"Tote","muerto/a",2
"Training","entrenamiento",1
"Transformator","transformador",1
"Traube","uva",1
"Traum","sueño de soñar",1
"Treffen","encuentro",1
"Treppe","escalera",1
"Triebwerk","motor, máquina",1
"Tritt","paso, puntapié, patada",1
"Träne","lágrima",1
