"singular","plural","gender","translation","mistakes"
"Anlage","Anlagen","f","instalación",1.0
"Anleitung","Anleitungen","f","dirección, instrucciones",1.0
"Anliegen","Anliegen","n","deseo, petición, ruego",1.0
"Anmeldung","Anmeldungen","f","aviso, inscripción, declaración",1.0
"Anmerkung","Anmerkungen","f","observación, advertencia",1.0
"Anruf","Anrufe","m","llamada",8.0
"Antenne","Antennen","f","antena",1.0
"Antonym","Antonyme","n","antónimo",1.0
"Antrag","Anträge","m","solicitud",1.0
"Antwort","Antworten","f","respuesta, contestación",2.0
"Anwalt","Anwälte","m","abogado",1.0
"Anwohner","Anwohner","m","vecino, residente",1.0
"Anwohnerin","Anwohnerinnen","f","vecina, residenta",1.0
"Anwältin","Anwältinnen","f","abogada",1.0
"Apfel","Äpfel","m","manzana",1.0
"Apokalypse","-","f","apocalipsis",1.0
"Apotheke","Apotheken","f","farmacia",1.0
"Apparat","Apparate","m","aparato",1.0
"April","Aprile","m","abril",1.0
"Arbeit","Arbeiten","f","trabajo",1.0
"Art","Arten","f","clase",1.0
"Arterie","Arterien","f","arteria",1.0
"Artikel","Artikel","m","artículo",1.0
"Arzt","Ärzte","m","médico",1.0
"Asylant","Asylanten","m","asilado",1.0
"Asylantin","Asylantinnen","f","asilada",1.0
"Atmen","-","n","respiración",7.0
"Attest","Atteste","n","certificado médico",13.0
"Aufenthalt","Aufenthalte","m","residencia",1.0
"Aufenthaltstitel","Aufenthaltstitel","m","título de residencia",1.0
"Aufgabe","Aufgaben","f","tarea",1.0
"Aufgang","Aufgänge","m","subida, salida",1.0
"Aufzug","Aufzüge","m","ascensor, elevador",1.0
"Auge","Augen","n","ojo",1.0
"August","Auguste","m","agosto",1.0
"Ausbildung","Ausbildungen","f","formación",1.0
"Ausdruck","-","m","expresión",1.0
"Ausfahrt","Ausfahrten","f","salida vehiculo",1.0
"Ausführung","Ausführungen","f","realización, ejecución, modelo, versión",1.0
"Ausgang","Ausgänge","m","salida",1.0
"Ausland","-","n","extranjero (país)",1.0
"Auslegung","Auslegungen","f","interpretación, comentario",1.0
"Ausländer","Ausländer","m","extranjero",1.0
"Ausländerbehörde","Ausländerbehörden","f","autoridad de extranjería",1.0
"Ausländerin","Ausländerinnen","f","extranjera",1.0
"Ausmaß","Ausmaße","n","dimensión, magnitud",4.0
"Ausweis","Ausweise","m","documento",1.0
"Auszug","Auszüge","m","mudanza",2.0
"Auto","Autos","n","auto",1.0
"Autor","Autoren","m","autor",1.0
"Autorin","Autorinnen","f","autora",1.0
"Baby","Babys","n","bebé",1.0
"Backofen","Backöfen","m","horno",2.0
"Bad","Bäder","n","baño",1.0
"Badewanne","Badewannen","f","bañera",1.0
"Bahn","Bahnen","f","ferrocarril",1.0
"Bahnhof","Bahnhöfe","m","estación de tren",1.0
"Ball","Bälle","m","pelota, balón",1.0
"Ballast","Ballaste","m","carga, lastre",7.0
"Ballon","Ballons/Ballone","m","globo aerostático, globo",3.0
"Banane","Bananen","f","banana",1.0
"Bank","Bänke","f","banco",1.0
"Banknote","Banknoten","f","billete de banco",1.0
"Bar","Bars","f","bar",3.0
"Bargeld","-","n","dinero en efectivo",1.0
"Batterie","Batterien","f","batería, pila",1.0
"Bau","-","m","construcción",2.0
"Baum","Bäume","m","árbol",1.0
"Bedarf","-","m","necesidad, falta",1.0
"Bedeutung","Bedeutungen","f","significado",1.0
"Bedienung","Bedienungen""","f","servicio, manejo, saldo",11.0
"Bedienungsanleitung","Bedienungsanleitungen","f","instrucciones de manejo",1.0
"Bedingung","Bedingungen","f","condición, circunstancia",11.0
"Befehl","Befehle","m","orden, mandato, comando",1.0
"Befinden","-","n","Salud (estado), parecer",11.0
"Beginn","-","m","comienzo, inicio, principio",5.0
"Begleiter","Begleiter","m","acompañante",1.0
"Behörde","Behörden","f","autoridad, administración",1.0
"Bein","Beine","n","pierna",1.0
"Beispiel","Beispiele","n","ejemplo",1.0
"Bekannte","Bekannten","mfn","conocido",1.0
"Bekanntschaft","Bekanntschaften","f","relación amistosa",1.0
"Bekleidung","Bekleidungen","f","vestimenta, ropa",1.0
"Bemerkung","Bemerkungen","f","comentario, observación",1.0
"Benzin","Benzine","n","nafta",1.0
"Beratung","Beratungen","f","consejo, asesoramiento",1.0
"Bereich","Bereiche","m","rango, zona, sector, terreno",1.0
"Berg","Berge","m","montaña, monte",1.0
"Beruf","Berufe","m","profesión",1.0
"Berufserfahrung","Berufserfahrungen","f","experiencia profesional",1.0
"Bescheid","Bescheide","m","información, notificación, noticia",2.0
"Bescheinigung","Bescheinigungen","f","certificado oficial",1.0
"Beschleunigung","Beschleunigungen","f","aceleración",1.0
"Beschäftigung","Beschäftigungen","f","ocupación, actividad, trabajo",1.0
"Besserung","-","f","mejora, mejoría, restablecimiento",7.0
"Besteck","Bestecke","n","cubiertos",1.0
"Bestehen","-","n","existencia",10.0
"Bestellung","Bestellungen","f","encargo, pedido",1.0
"Besucher","Besucher","m","visitante",1.0
"Betrag","Beträge","m","suma, importe, total",5.0
"Betragen","-","n","comportamiento, conducta",8.0
"Betreff","Betreffe","m","asunto",1.0
"Betreuung","-","f","asistencia, responsabilidad",1.0
"Betrieb","Betriebe","m","empresa, funcionamiento",1.0
"Betrug","-","m","engaño, estafa, fraude, tranpa",6.0
"Bett","Betten","n","cama",1.0
"Bewegung","Bewegungen","f","movimiento",1.0
"Beweis","Beweise","m","prueba, muestra",11.0
"Bewohner","Bewohner","m","habitante, ocupante",1.0
"Biene","Bienen","f","abeja",1.0
"Bier","Biere","n","cerveza",1.0
"Bild","Bilder","n","cuadro",1.0
"Bildung","-","f","educación",1.0
"Birne","Birnen","f","pera",1.0
"Bitte","Bitten","f","ruego, solicitud, aplicación",11.0
"Blatt","Blätter","n","hoja",1.0
"Blech","Bleche","n","chapa de metal",2.0
"Bleibe","Bleiben","f","alojamiento",1.0
"Bleistift","Bleistifte","m","lápiz",2.0
"Blick","Blicke","m","mirada, vistazo, ojeada",1.0
"Blitz","Blitze","m","rayo, relámpago",1.0
"Blume","Blumen","f","flor",1.0
"Blumentopf","Blumentöpfe","m","maceta",1.0
"Blut","-","n","sangre",1.0
"Boden","Böden","m","suelo",1.0
"Bogen","Bogen","m","arco",1.0
"Bohrer","Bohrer","m","taladro",1.0
"Bohrmaschine","Bohrmaschinen","f","taladradora",1.0
"Bombe","Bomben","f","bomba",1.0
"Boot","Boote","n","bote",1.0
"Bosheit","Bosheiten","f","maldad, malicia",3.0
"Brand","-","m","gangrena, necrosis",1.0
"Brand","Brände","m","fuego, incendio, sed",1.0
"Brandwunde","Brandwunden","f","quemadura",1.0
"Braten","Braten","m","asado",9.0
"Bratwurst","Bratwürste","f","salchicha frita",1.0
"Brei","Breie","m","papilla, puré",12.0
"Brennstoff","Brennstoffe","m","combustible",1.0
"Brief","Briefe","m","carta",1.0
"Brille","Brillen","f","lentes, gafas",1.0
"Bronze","Bronzen","f","bronce",1.0
"Brot","Brote","n","pan",1.0
"Bruder","Brüder","m","hermano",1.0
"Brunnen","Brunnen","m","pozo, fuente, manantial",1.0
"Brust","Brüste","f","pecho",1.0
"Brücke","Brücken","f","puente",1.0
"Buch","Bücher","n","libro",1.0
"Buchhaltung","-","f","contaduría, teneduría de libros",1.0
"Bulle","Bullen","m","toro",3.0
"Bullenkalb","Bullenkälber","n","ternero",1.0
"Bundesland","Bundesländer","n","estado federado",1.0
"Bundesrepublik Deutschland","-","f","República Federal de Alemania",1.0
"Bundeswehr","-","f","ejército alemán",1.0
"Bus","Busse","m","autobus",1.0
"Butter","-","f","manteca",9.0
"Bär","Bäre/Bären","m","oso",1.0
"Bücherregal","Bücherregale","n","estantería de libros",1.0
"Bürge","Bürgen","m","fiador, garante",11.0
"Bürgin","Bürginnen","f","fiadora, garante",9.0
"Büro","Büros","n","oficina",3.0
"Cafeteria","Cafeterien","f","cafetería",1.0
"Chef","Chefs","m","Jefe",1.0
"Chefin","Chefinnen","f","Jefa",1.0
"Chemikalie","Chemikalien","f","sustancia química",1.0
"Cleverness","-","f","agudeza, listeza, sutileza",14.0
"Club","Clubs","m","club",1.0
"Computer","Computer","m","computadora",1.0
"Cousin","Cousins","m","primo",1.0
"Cousine","Cousinen","f","prima",1.0
"Currywurst","Currywürste","f","salchicha con curry",1.0
"Dach","Dächer","n","techo, toldo",1.0
"Damm","Dämme","m","terraplén, dique",2.0
"Datenwissenschaft","Datenwissenschaften","f","ciencia de datos",1.0
"Dativ","Dative","m","dativo",1.0
"Decke","Decken","f","techo interno, manta",1.0
"Deklination","Deklinationen","f","declinación",1.0
"Demokratie","Demokratien","f","democracia",1.0
"Demonstration","Demonstrationen","f","demostración, manifestación",3.0
"Denken","-","n","reflexión, raciocinio, razonamiento, pensamiento",8.0
"Design","Designs","n","diseño",3.0
"Detail","Details","n","detalle",1.0
"Deutsch","-","n","idioma alemán",1.0
"Deutschland","-","n","Alemania",1.0
"Dezember","Dezember","m","diciembre",1.0
"Dieb","Diebe","m","ladrón",1.0
"Diebin","Diebinnen","f","ladrona",1.0
"Dienst","Dienste","m","servicio, función",3.0
"Dienstag","Dienstage","m","martes",1.0
"Ding","Dinge","n","cosa",1.0
"Diplom","Diplome","n","diploma",1.0
"Diskriminierung","Diskriminierungen","f","discriminación",1.0
"Dokument","Dokumente","n","documento",2.0
"Donner","Donner","m","trueno",1.0
"Donnerstag","Donnerstage","m","jueves",1.0
"Drache","Drachen","m","dragon",1.0
"Dreck","-","m","mugre, porquería, barro",1.0
"Droge","Drogen","f","droga",1.0
"Drohne","Drohnen","f","zángano",1.0
"Drucker","Drucker","m","impresora",1.0
"Durst","-","m","sed",1.0
"Dusche","Duschen","f","ducha",1.0
"E-Mail","E-Mail","f","e-mail",1.0
"Echtzeit","Echtzeiten","f","tiempo real",3.0
"Ecke","Ecken","f","esquina",1.0
"Ehe","Ehen","f","matrimonio",1.0
"Ehefrau","Ehefrauen","f","esposa",1.0
"Ehemann","Ehemänner","m","esposo",1.0
"Ei","Eier","n","huevo",1.0
"Eiche","Eichen","f","roble",11.0
"Eichhörnchen","Eichhörnchen","n","ardilla",1.0
"Eilmeldung","Eilmeldungen","f","comunucación urgente",1.0
"Eindruck","Eindrücke","m","impresión, sensación, huella",1.0
"Einfahrt","Einfahrten","f","entrada vehiculo",1.0
"Eingang","Eingänge","m","entrada",1.0
"Eingangsbestätigung","Eingangsbestätigungen","f","acuse de recibo",1.0
"Einheit","Einheiten","f","unidad",4.0
"Einkommen","Einkommen","n","ingresos",1.0
"Einlagensicherung","-","f","garantía de depósito",1.0
"Einleger","Einleger","m","depositante",1.0
"Einlegerin","Einlegerinnen","f","depositante",1.0
"Einzug","Einzüge","m","recaudación, entrada, ingreso",1.0
"Eis","-","n","hielo",1.0
"Eisbär","Eisbären","m","oso polar",1.0
"Eiscreme","Eiscremes","f","helado",1.0
"Eisen","Eisen","n","hierro",1.0
"Eisenzeit","-","f","edad de hierro",1.0
"Elektrizität","-","f","electricidad",1.0
"Empfang","Empfänge","m","recepción, destino",1.0
"Empfänger","Empfänger","m","destinatario",1.0
"Empfängerin","Empfängerinnen","f","destinataria",1.0
"Ende","Enden","n","final, fin, extremo",1.0
"Engel","Engel","m","angel",1.0
"Englisch","-","n","inglés",1.0
"Ente","Enten","f","pato",1.0
"Entfernung","Entfernungen","f","distancia, eliminación, alejamiento",1.0
"Entfremdung","Entfremdungen","f","distancia",1.0
"Entscheidung","Entscheidungen","f","decisión, resolución, fallo",1.0
"Entspannung","Entspannungen","f","relajación, distensión",1.0
"Entsprechung","Entsprechungen","f","analogía, concordancia",1.0
"Entwickler","Entwickler","m","desarrollador",1.0
"Entwicklerin","Entwicklerinnen","f","desarrolladora",1.0
"Entwicklung","Entwicklungen","f","desarrollo, evolución",1.0
"Erde","-","f","planeta tierra",1.0
"Erfahrung","Erfahrungen","f","experiencia",1.0
"Erfolg","Erfolge","m","éxito, resultado",1.0
"Ergebnis","Ergebnisse","n","resultado, consecuencia",6.0
"Erklärung","Erklärungen","f","explicación, razón, declaración, comentario",1.0
"Erlaubnis","Erlaubnisse","f","permiso",6.0
"Erläuterung","Erläuterungen","f","explicación, comentario",1.0
"Erlöschen","-","n","extinción, expiración, caducidad",10.0
"Ersatz","-","m","sustitución",1.0
"Erschrecken","-","n","terror",8.0
"Erwachsene","Erwachsenen","mf","adulto",7.0
"Erwartung","Erwartungen","f","esperanza, expectativa",1.0
"Erzieher","Erzieher","m","educador, pedagogo, maestro",10.0
"Erzieherin","Erzieherinnen","f","educadora, pedagoga, maestra",11.0
"Eröffnung","Eröffnungen","f","apertura, inauguración, publicación",1.0
"Esel","Esel","m","burro",1.0
"Eselin","Eselinnen","f","burra",1.0
"Essen","Essen","n","comida",1.0
"Etage","Etagen","f","piso, planta",1.0
"Event","Events","mn","evento",1.0
"Explosion","Explosionen","f","explosión",1.0
"Fahne","Fahnen","f","bandera",1.0
"Fahrkarte","Fahrkarten","f","boleto",1.0
"Fahrrad","Fahrräder","n","bicicleta",1.0
"Fahrschein","Fahrscheine","m","boleto",1.0
"Fahrstreifen","Fahrstreifen","m","carril",1.0
"Fall","Fälle","m","caso",1.0
"Familie","Familien","f","familia",1.0
"Familienangehöriger","Familienangehörigen","m","miembro de la familia",1.0
"Farbe","Farben","f","color",1.0
"Faulenzer","Faulenzer","m","holgazán",1.0
"Faulenzerin","Faulenzerinnen","f","holgazana",1.0
"Faust","Fäuste","f","puño",3.0
"Februar","Februare","m","febrero",1.0
"Feedback","Feedbacks","n","feedback",1.0
"Fehler","Fehler","m","error",1.0
"Fell","Felle","n","piel",2.0
"Femininum","Feminina","n","género femenino",1.0
"Fenster","Fenster","n","ventana",1.0
"Fernreise","Fernreisen","f","viaje de larga distancia",1.0
"Fernseher","Fernseher","m","televisor",1.0
"Fest","Feste","n","fiesta, festival",1.0
"Fett","Fette","n","grasa",3.0
"Feuchtigkeit","-","f","humedad",1.0
"Feuer","-","n","fuego",1.0
"Feuerwehr","Feuerwehren","f","bombero",1.0
"Feuerwerk","Feuerwerke","n","fuegos artificiales",1.0
"Feuerzeug","Feuerzeuge","n","encendedor, mechero",1.0
"Fieber","Fieber","n","fiebre",1.0
"Finale","Finale","n","final (competencia)",1.0
"Firma","Firmen","f","empresa",1.0
"Fisch","Fische","m","pescado",1.0
"Flair","-","m","encanto, ambiente",9.0
"Flasche","Flaschen","f","botella",1.0
"Fledermaus","Fledermäuse","f","murciélago",1.0
"Fleisch","-","n","carne",1.0
"Fliege","Fliegen","f","mosca",1.0
"Flinte","Flinten","f","escopeta",1.0
"Flug","Flüge","m","vuelo",1.0
"Flugleistung","Flugleistungen","f","rendimiento de vuelo",1.0
"Flugzeug","Flugzeuge","n","avión",1.0
"Fluss","Flüsse","m","río",1.0
"Flut","Fluten","f","aluvión, marea alta, raudal",10.0
"Fläche","Flächen","f","superficie",1.0
"Flügel","Flügel","m","ala",1.0
"Form","Formen","f","forma, manera",1.0
"Formular","Formulare","n","formulario",4.0
"Forschung","Forschungen","f","investigación",1.0
"Foto","Fotos","n","foto",1.0
"Frage","Fragen","f","pregunta",1.0
"Franzose","Franzosen","m","frances",3.0
"Französin","Französinnen","f","francesa",1.0
"Frau","Frauen","f","mujer",1.0
"Freiheit","-","f","libertad",4.0
"Freitag","Freitage","m","viernes",1.0
"Fremde","Fremden","mf","extranjero, forastero, desconocido",1.0
"Freude","-","f","alegría",2.0
"Freund","Freunde","m","amigo",1.0
"Freundin","Freundinnen","f","amiga",1.0
"Frisur","Frisuren","f","peinado",1.0
"Front","Fronten","f","frente",1.0
"Frosch","Frösche","m","rana",1.0
"Frühling","Frühlinge","m","primavera",1.0
"Frühstück","Frühstücke","n","desayuno",1.0
"Funke","Funken","m","chispa electrica",1.0
"Fuß","Füße","m","pie",1.0
"Fußball","-","m","fútbol",1.0
"Fähigkeit","-","f","capcidad, habilidad",1.0
"Füller","Füller","m","pluma, lapicera",2.0
"Gabel","Gabeln","f","tenedor",1.0
"Galaxie","Galaxien","f","galaxia",1.0
"Gardine","Gardinen","f","cortina",1.0
"Garten","Gärten","m","jardín",1.0
"Gast","Gäste","m","huesped",1.0
"Gebaren","-","n","comportamiento, conducta",7.0
"Geburt","Geburten","f","parto",1.0
"Geburtstag","Geburtstage","m","cumpleaños",1.0
"Gebühr","Gebühren","f","tarifa, taza",2.0
"Gedanke","Gedanken","m","idea, pensamiento",1.0
"Gedeck","Gedecke","n","cubierto (toda la mesa)",1.0
"Geduld","-","f","paciencia",1.0
"Gefecht","Gefechte","n","combate",2.0
"Gefilde","Gefilde","n","campiña, campos",1.0
"Gefährlichkeit","-","f","peligrosidad, gravedad, riesgo",1.0
"Gefühl","Gefühle","n","sensación, sentimiento",1.0
"Gegenteil","Gegenteile","n","lo contrario",5.0
"Gegenwart","-","f","actualidad, presente",1.0
"Gehalt","Gehälter","n","sueldo, salario",1.0
"Gehörsinn","-","m","sentido del oído",1.0
"Geist","Geister","m","espíritu, fantasma",2.0
"Geld","-","n","dinero",1.0
"Gelegenheit","Gelegenheiten","f","oportunidad",1.0
"Gelände","Gelände","n","terreno",1.0
"Gelingen","-","n","éxito",10.0
"Gemüse","Gemüse","n","verdura",1.0
"Genitiv","Genitive","m","genitivo",1.0
"Genossenschaft","Genossenschaften","f","cooperativa",1.0
"Genus","Genera","n","género",1.0
"Gericht","Gerichte","n","comida, plato, tribunal, juzgado",1.0
"Geruchssinn","-","m","olfato",1.0
"Gerät","Geräte","n","aparato, instrumento, utensillo",2.0
"Geschehen","Geschehen","n","sucesos, acontecimientos",9.0
"Geschenk","Geschenke","n","regalo",1.0
"Geschichte","-","f","historia",1.0
"Geschirr","Geschirre","n","vajilla",1.0
"Geschmackssinn","-","m","sentido del gusto",1.0
"Geschwindigkeit","Geschwindigkeiten","f","velocidad",1.0
"Geschäft","Geschäfte","n","negocio",1.0
"Gesellschaft","Gesellschaften","f","asociación, compañía",1.0
"Gesetz","Gesetze","n","ley",1.0
"Gesicht","Gesichter","n","cara",1.0
"Gesichtssinn","-","m","sentido de la vista",1.0
"Gespräch","Gespräche","n","conversación",1.0
"Gesundheit","-","f","salud, prosperidad",1.0
"Gewehr","Gewehre","n","fusil",1.0
"Gewicht","-","n","peso, importancia",9.0
"Gewicht","Gewichte","f","pesa",6.0
"Gewitter","Gewitter","n","tormenta, temporal",2.0
"Gitarre","Gitarren","f","guitarra",1.0
"Glas","Gläser","n","vaso",1.0
"Glaube","-","m","fe, creencias",1.0
"Gleichgewicht","-","n","equilibrio",5.0
"Glück","-","n","suerte",1.0
"Glühbirne","Glühbirnen","f","foco",1.0
"Graben","Gräben","m","zanja, acequia, cuneta, foso",11.0
"Grammatik","Grammatiken","f","gramática",1.0
"Grashüpfer","Grashüpfer","m","saltamontes",2.0
"Grenze","Grenzen","f","frontera",1.0
"Grill","Grills","m","asado",1.0
"Großartigkeit","-","f","grandiosidad, magnificencia",17.0
"Großmutter","Großmütter","f","abuela",1.0
"Großvater","Großväter","m","abuelo",1.0
"Grund","Gründe","m","suelo, base, fundamento",1.0
"Grundschule","Grundschulen","f","escuela primaria",2.0
"Grundwissen","-","n","conocimientos básicos",5.0
"Gymnasium","Gymnasien","n","escuela media, secundaria",1.0
"Gürtel","Gürtel","m","cinturón",1.0
"Hafen","Häfen","m","puerto",1.0
"Hagel","Hagel","m","granizo (tormenta)",3.0
"Hagelkorn","Hagelkörner","n","granizo (piedra)",3.0
"Halt","Halte/Halts","m","apoyo, sostén, parada",7.0
"Hamburger","Hamburger","m","hamburguesa",1.0
"Hand","Hände","f","mano",3.0
"Handschuh","Handschuhe","m","guante",6.0
"Handtuch","Handtücher","n","toalla",1.0
"Handy","Handys","n","móvil, celular",1.0
"Hangar","Hangars","m","hangar",1.0
"Haus","Häuser","n","casa",1.0
"Haushalt","Haushalte","m","casa, hogar",3.0
"Heer","Heere","n","ejército",3.0
"Hefe","Hefen","f","levadura",1.0
"Heimat","Heimaten","f","patria, país de origen",1.0
"Helikopter","Helikopter","m","helicóptero",1.0
"Herausforderung","Herausforderungen","f","desafío, reto",1.0
"Herbst","Herbste","m","otoño",1.0
"Herkunft","-","f","origen",1.0
"Herz","Herzen","n","corazón",1.0
"Hilfe","Hilfen","f","ayuda",1.0
"Himmel","Himmel","m","cielo",1.0
"Hindernis","Hindernisse","n","obstáculo",1.0
"Hintergrund","Hintergründe","m","fondo, trasfondo, causas",1.0
"Hobby","Hobbys","n","hobby",1.0
"Hochdeutsch","-","n","alemán estándar",1.0
"Hochwasser","Hochwasser","n","marea alta, crecida, inundación",1.0
"Hof","Höfe","m","patio",1.0
"Hoffnung","Hoffnungen","f","esperanza",11.0
"Holz","-","n","madera",1.0
"Holzklotz","Holzklötze","m","bloque de madera",1.0
"Honig","Honige","m","miel",1.0
"Horizont","Horizonte","m","horizonte",1.0
"Horror","-","m","horror",2.0
"Hose","Hosen","f","pantalón",1.0
"Hotel","Hotels","n","hotel",1.0
"Hubschrauber","Hubschrauber","m","helicóptero",1.0
"Hund","Hunde","m","perro",1.0
"Hure","Huren","f","puta, ramera",1.0
"Hut","Hüte","m","sombrero",1.0
"Hähnchen","Hähnchen","n","pollo",1.0
"Höhenleitwerk","Höhenleitwerke","n","estabilizador horizontal",1.0
"Hölle","-","f","infierno",1.0
"Hülle","Hüllen","f","funda",1.0
"Hündin","Hündinnen","f","perra",1.0
"Idee","Ideen","f","idea",1.0
"Ignoranz","-","f","ignorancia",2.0
"Immigrant","Immigranten","m","inmigrante",1.0
"Immigrantin","Immigrantinnen","f","inmigrante",1.0
"Impfstoff","Impfstoffe","m","vacuna",1.0
"Impfung","Impfungen","f","vacunación",1.0
"Injektion","Injektionen","f","inyección",5.0
"Innere","-","n","interior",4.0
"Insel","Inseln","f","isla",1.0
"Institut","Institute","n","instituto",1.0
"Instrument","Instrumente","n","instrumento",1.0
"Internet","-","n","internet",1.0
"Jahr","Jahre","n","año",1.0
"Januar","Januare","m","enero",1.0
"Job","Jobs","m","trabajo",1.0
"Jongleur","Jongleure","m","malabarismo",3.0
"Juli","Julis","m","julio",1.0
"Junge","Jungen","m","muchacho",1.0
"Juni","Junis","m","junio",1.0
"Jäger","Jäger","m","cazador",1.0
"Jägerin","Jägerinnen","f","cazadora",1.0
"Kabel","Kabel","n","cable",2.0
"Kaffee","Kaffees","m","café",1.0
"Kalb","Kälber","n","ternero/a",1.0
"Kampagne","Kampagnen","f","campaña",1.0
"Kampf","Kämpfe","m","lucha, combate",1.0
"Knabe","Knaben","m","chico, muchacho",9.0
"Kaninchen","Kaninchen","n","conejo",1.0
"Kanne","Kannen","f","jarra",1.0
"Kappe","Kappen","f","gorra, tapa, capucha",1.0
"Karte","Karten","f","mapa, carta",1.0
"Kartoffel","Kartoffeln","f","patata",1.0
"Kasse","Kassen","f","caja (pago)",1.0
"Kasten","Kästen","m","caja, cajón",1.0
"Katastrophe","Katastrophen","f","catástrofe",1.0
"Katze","Katzen","f","gato",1.0
"Kauf","Käufe","m","compra, adquisición",1.0
"Keller","Keller","m","sótano",1.0
"Kellner","Kellner","m","camarero",1.0
"Kellnerin","Kellnerinnen","f","camarera",1.0
"Kenntnis","-","f","conocimiento",25.0
"Kerze","Kerzen","f","vela",1.0
"Kette","Ketten","f","cadena, collar, serie",1.0
"Kind","Kinder","n","niño",1.0
"Kindheit","-","f","infancia",1.0
"Kinn","Kinne","n","barbilla",4.0
"Kino","Kinos","n","cine",1.0
"Kiosk","Kioske","m","quiosco, kiosko",2.0
"Kirche","Kirchen","f","iglesia",1.0
"Kiste","Kisten","f","caja",1.0
"Kita","Kitas","f","jardín de infantes",1.0
"Klappe","Klappen","f","tapa",1.0
"Klasse","Klassen","f","clase, lección",1.0
"Klavier","Klaviere","n","piano",1.0
"Kleber","Kleber","m","pegamento",1.0
"Klebstoff","Klebstoffe","m","pegamento",1.0
"Kleid","Kleider","n","vestido",1.0
"Kleidung","Kleidungen","f","ropa",1.0
"Kletterer","Kletterer","m","escalador",1.0
"Klettererin","Klettererinnen","f","escaladora",1.0
"Klient","Klienten","m","cliente",4.0
"Klientin","Klientinnen","f","clienta",4.0
"Klimaveränderung","Klimaveränderungen","f","cambio climático",1.0
"Klimawandel","-","m","cambio climático",1.0
"Klotz","Klötze","m","bloque",1.0
"Klub","Klubs","m","club",1.0
"Kneipe","Kneipen","f","bar",1.0
"Knoblauch","-","m","ajo",2.0
"Knopf","Knöpfe","m","botón",1.0
"Kochtopf","Kochtöpfe","m","olla",1.0
"Kohl","-","m","col, repollo",1.0
"Kohlensäure","-","f","gas CO2 (agua)",1.0
"Kollektiv","Kollektive/Kollektivs","n","colectivo",1.0
"Kommentar","Kommentare","m","comentario",3.0
"Kommode","Kommoden","f","cómoda",1.0
"Kommunikation","-","f","comunicación",1.0
"Konjugation","Konjugationen","f","conjugación",1.0
"Konsonant","Konsonanten","m","consonante",3.0
"Kontakt","Kontakte","m","contacto",1.0
"Konto","Konten","n","cuenta",1.0
"Kontrolle","Kontrollen","f","control",2.0
"Kopf","Köpfe","m","cabeza",1.0
"Korrespondenz","Korrespondenzen","f","correspondencia",1.0
"Korridor","Korridore","m","pasillo",1.0
"Kraft","Kräfte","f","fuerza",1.0
"Kraftrad","Krafträder","n","motocicleta",11.0
"Kran","Krane/Kräne","m","grúa",1.0
"Kranke","Kranken","mf","enfermo/a",1.0
"Krankenhaus","Krankenhäuser","n","hospital",1.0
"Krankenwagen","Krankenwagen","m","ambulancia",1.0
"Krankheit","Krankheiten","f","enfermedad",1.0
"Krebs","Krebse","m","cancer, cangrejo",1.0
"Kreis","Kreise","m","círculo",1.0
